product_title,product_url,product_image,product_brand_type,product_brand_name,product_offers_type,product_offers_price,product_offers_priceCurrency,product_rating_value,product_reviewCount,sale_price,sale_price_currency
"Handmade Ceramic Beads, Unique Beads Best Selling Items, Clay Jewelry Beads, Unusual Porcelain Beads, Decorative Oval Beads For Crafts",https://www.etsy.com/listing/901776261/handmade-ceramic-beads-unique-beads-best,https://i.etsystatic.com/7178834/r/il/d2b74e/2981479653/il_fullxfull.2981479653_k1w2.jpg,Brand,CeramicaAnaRafael,Offer,46.81,USD,4.9333,392,46.81,USD
Wood Sign | Quilt Block Sign | Farmhouse Style | Rustic Home Decor | Mini Wood Signs | Best Selling Items,https://www.etsy.com/listing/621959852/wood-sign-quilt-block-sign-farmhouse,https://i.etsystatic.com/5265326/r/il/d2aa39/1634711307/il_fullxfull.1634711307_1tn7.jpg,Brand,BlossomHillBoutique,Offer,27.00,USD,4.6471,553,46.81,USD
Pinterest Pin Minimalist Grey Templates  | Pin Mockup Canva Templates | Digital Products | Guides | Courses | Product Launch,https://www.etsy.com/listing/1456128125/pinterest-pin-minimalist-grey-templates,https://i.etsystatic.com/31285329/r/il/322a3c/4795825096/il_fullxfull.4795825096_5x4k.jpg,Brand,theSocialtwoShop,Offer,8.00,USD,4.9091,181,46.81,USD
Digital Products Digital Downloads Best Sellers To Sell On Etsy With Master Resell Rights Included! Midjourney Prompts AI Prompts Etsy Shop,https://www.etsy.com/listing/1540409432/digital-products-digital-downloads-best,https://i.etsystatic.com/45843102/r/il/316575/5241294182/il_fullxfull.5241294182_cbdc.jpg,Brand,ArtiCraftAI,Offer,9.99,USD,5,15,46.81,USD
"Crochet Bag For Woman And Girl, Crossbody Bag In Light Colour, Handmade Shoulder Bag, Elagant Handbag For Her, Best Selling Handmade Item",https://www.etsy.com/listing/1225748479/crochet-bag-for-woman-and-girl-crossbody,https://i.etsystatic.com/13598240/r/il/11c1d2/3848610784/il_fullxfull.3848610784_pc4g.jpg,Brand,LaverdureStudio,Offer,143.76,USD,4.8689,673,46.81,USD
100 Halloween Digital Product Ideas Sell on Etsy Best Selling Items 2023 Digital Products Best Seller Digital Top Sellers Best Sellers,https://www.etsy.com/listing/1547442387/100-halloween-digital-product-ideas-sell,https://i.etsystatic.com/45372588/r/il/14733d/5252764969/il_fullxfull.5252764969_pbeh.jpg,Brand,Helply,Offer,3.17,USD,5,13,46.81,USD
"Pink Floral Bouquet Garden Journal Hardcover Notebook, 5.75&quot;x8&quot; 150 Lined Pages, Best Selling Item Most Popular Item Trending Item Boho Chic",https://www.etsy.com/listing/1558001481/pink-floral-bouquet-garden-journal,https://i.etsystatic.com/8952192/r/il/e5f28d/5298238057/il_fullxfull.5298238057_e68x.jpg,Brand,RoseyJohnny,Offer,14.80,USD,5,3980,46.81,USD
"Love, Wall Decor,Trending,Art Prints,Instant Download,Printable Art,Wall Art Prints,Digital Prints, Best Selling Items,Best Selling Items",https://www.etsy.com/listing/488985520/love-wall-decortrendingart-printsinstant,https://i.etsystatic.com/14253538/r/il/c2bef1/1348479395/il_fullxfull.1348479395_d1gg.jpg,Brand,MorethanwordsDesign,Offer,1.99,USD,4.6875,274,46.81,USD
Trending now shell pearl choker. Pink pearl necklace best selling items. Statement necklace shell pearl beads. Mother of pearl flower choker,https://www.etsy.com/listing/1505230003/trending-now-shell-pearl-choker-pink,https://i.etsystatic.com/34532934/r/il/e23f2d/5208884478/il_fullxfull.5208884478_ib6x.jpg,Brand,BijouArtStudioDesign,Offer,26.00,USD,4.9167,42,26.00,USD
Digital Products Best Seller | Discover Over 200 Real Actionable Digital Product Ideas For Top Sellers + AI Bonus | Digital Products Hustle,https://www.etsy.com/listing/1552539065/digital-products-best-seller-discover,https://i.etsystatic.com/45843102/r/il/d19bb6/5233113246/il_fullxfull.5233113246_kzpb.jpg,Brand,ArtiCraftAI,Offer,4.99,USD,5,15,26.00,USD
Vintage Vegetables Food Notebook 118 Pages Best Selling Item Most Popular Item Trending Gifts Supplies Best Sellers Notebook Journal Rustic,https://www.etsy.com/listing/1553763817/vintage-vegetables-food-notebook-118,https://i.etsystatic.com/8952192/r/il/46af65/5229922096/il_fullxfull.5229922096_12nj.jpg,Brand,RoseyJohnny,Offer,12.82,USD,5,3980,26.00,USD
"Don&#39;t Stop, Motivational Art,Wall Decor,Trending,Art Prints,Instant Download,Printable Art,Wall Art,Digital Prints,Best Selling Items",https://www.etsy.com/listing/494391590/dont-stop-motivational-artwall,https://i.etsystatic.com/14253538/r/il/f2a25f/1433482537/il_fullxfull.1433482537_g6am.jpg,Brand,MorethanwordsDesign,Offer,1.99,USD,4.6875,274,26.00,USD
1000 Digital Product Ideas Sell on Etsy Best Selling Items 2023 Digital Products Best Seller Digital Top Sellers Passive Income Best Sellers,https://www.etsy.com/listing/1536437960/1000-digital-product-ideas-sell-on-etsy,https://i.etsystatic.com/45372588/r/il/ce076d/5215743488/il_fullxfull.5215743488_2gbc.jpg,Brand,Helply,Offer,16.09,USD,5,13,26.00,USD
"Best Selling Etsy Jewelry, Best Selling Bracelet, Magazine Featured Best Seller, HappyGoLicky Jewelry Silk Wrap Bracelet, Best Selling Gifts",https://www.etsy.com/listing/281497910/best-selling-etsy-jewelry-best-selling,https://i.etsystatic.com/5288022/r/il/96b0c8/612553215/il_fullxfull.612553215_ms24.jpg,Brand,HappyGoLicky,Offer,58.00,USD,4.914,8139,26.00,USD
Folded Book Art - Unique Gift For Book Lover - Home Decor - Book Sculpture - Library -  Best Selling - Your Choice of Words -,https://www.etsy.com/listing/126188889/folded-book-art-unique-gift-for-book,https://i.etsystatic.com/6711540/r/il/295b7c/437053449/il_fullxfull.437053449_e1dz.jpg,Brand,LucianaFrigerio,Offer,120.00,USD,4.9896,1744,26.00,USD
"187 Product Ideas for 2023, Small Business Ideas, Best Selling Product Ideas, New Product Ideas 2023 Plan, Physical Product Ideas",https://www.etsy.com/listing/1367832654/187-product-ideas-for-2023-small,https://i.etsystatic.com/7456355/r/il/588373/5199615053/il_fullxfull.5199615053_47bd.jpg,Brand,AttentionGetting,Offer,6.50,USD,4.8571,5771,26.00,USD
250 Digital Product Ideas Sell on Etsy Best Selling Items 2023 Digital Products Best Seller Digital Top Sellers Passive Income Best Sellers,https://www.etsy.com/listing/1550643087/250-digital-product-ideas-sell-on-etsy,https://i.etsystatic.com/45372588/r/il/76d59d/5264038899/il_fullxfull.5264038899_t4sd.jpg,Brand,Helply,Offer,5.59,USD,5,13,2.80,USD
"Chill,New Home,Printable Wall Art,Instant Download,Home Decor,Trending,Art Prints,Printable Art,Wall Art,Decor,Art,Best Selling Items",https://www.etsy.com/listing/507879855/chillnew-homeprintable-wall-artinstant,https://i.etsystatic.com/14253538/r/il/0a0b36/1522770791/il_fullxfull.1522770791_mj8p.jpg,Brand,MorethanwordsDesign,Offer,1.99,USD,4.6875,274,2.80,USD
Book Art - Best Selling Item -  Inspirational Quote - Unique Present - Book Lover - Handmade - Inspire - Or Your Choice of Words,https://www.etsy.com/listing/153524145/book-art-best-selling-item-inspirational,https://i.etsystatic.com/6711540/r/il/a3f8bb/414814182/il_fullxfull.414814182_jtbs.jpg,Brand,LucianaFrigerio,Offer,180.00,USD,4.9896,1744,2.80,USD
"Etsy top sellers, Etsy best sellers 2023 Photography. 3 pdf files for quick analysis for Etsy seller. Best selling items, most popular shops",https://www.etsy.com/listing/1171140767/etsy-top-sellers-etsy-best-sellers-2023,https://i.etsystatic.com/13226272/r/il/286cc2/5023263952/il_fullxfull.5023263952_ncpq.jpg,Brand,HowToSellCrafts,Offer,2.99,USD,4.7917,683,2.80,USD
"Etsy Best Sellers, Best Selling Etsy Jewelry, Best Jewelry Sellers, Best Selling Jewelry, HappyGoLicky Jewelry Best Selling Necklaces",https://www.etsy.com/listing/472096248/etsy-best-sellers-best-selling-etsy,https://i.etsystatic.com/5288022/r/il/f465fc/812932539/il_fullxfull.812932539_o9cc.jpg,Brand,HappyGoLicky,Offer,68.00,USD,4.914,8139,2.80,USD
"Etsy Best Sellers, Best Selling Etsy Jewelry, Best Jewelry Sellers, Best Selling Jewelry, Bohemian Jewelry Best Selling Necklaces",https://www.etsy.com/listing/1324157872/etsy-best-sellers-best-selling-etsy,https://i.etsystatic.com/28170748/r/il/fe7d39/3789849593/il_fullxfull.3789849593_csck.jpg,Brand,PrimitivaWorld,Offer,46.81,USD,4.8023,192,2.80,USD
Stocking stuffer for women - POCKET MIRROR - best selling items handmade mom gifts best seller women stocking stuffer mom women gift,https://www.etsy.com/listing/125765980/stocking-stuffer-for-women-pocket-mirror,https://i.etsystatic.com/5117032/r/il/2a2e07/435473496/il_fullxfull.435473496_6xil.jpg,Brand,boygirlparty,Offer,6.00,USD,4.9921,17948,2.80,USD
Top  500 Selling items in Canada -Canadian selling shops on Etsy - Top selling items Canada,https://www.etsy.com/listing/1258278702/top-500-selling-items-in-canada-canadian,https://i.etsystatic.com/19583842/r/il/330615/4028830408/il_fullxfull.4028830408_g454.jpg,Brand,KawaiiMonk,Offer,6.57,USD,4.8892,3066,2.80,USD
Etsy best sellers. 50 Etsy TOP sellers 2023. Best selling items on Etsy 5 PDF files in the set,https://www.etsy.com/listing/714682332/etsy-best-sellers-50-etsy-top-sellers,https://i.etsystatic.com/13226272/r/il/212c85/4838479312/il_fullxfull.4838479312_t06w.jpg,Brand,HowToSellCrafts,Offer,2.99,USD,4.7917,683,2.99,USD
Best Selling Items Handmade Best Friend Gifts Rustic Holiday Decor Mothers Day Gifts Popular Right Now Unique Long Distance Relationship,https://www.etsy.com/listing/1234524775/best-selling-items-handmade-best-friend,https://i.etsystatic.com/11161803/r/il/7dcdfa/3961951189/il_fullxfull.3961951189_axk0.jpg,Brand,witheyesunlocked,Offer,25.99,USD,4.9624,6327,2.99,USD
