product_url,product_name,product_sku,product_images,product_category,product_brand,product_rating,product_review_count,product_price,product_price_currency,product_reviews
https://www.etsy.com/listing/1334390240/500-digital-product-ideas-to-sell-on,500 Digital Product Ideas To Sell On Etsy | Printables to sell on Etsy | Passive income ideas | Earn with Etsy Selling Digital Product Ebook,1334390240,"['https://i.etsystatic.com/38998832/r/il/d3b57b/4353602298/il_fullxfull.4353602298_hsvk.jpg', 'https://i.etsystatic.com/38998832/r/il/da9622/4400990021/il_fullxfull.4400990021_vzp2.jpg', 'https://i.etsystatic.com/38998832/r/il/82da72/4353600310/il_fullxfull.4353600310_pw4v.jpg', 'https://i.etsystatic.com/38998832/r/il/b8319d/4353600178/il_fullxfull.4353600178_kda2.jpg']","Books, Movies & Music < Books < Guides & How Tos",CreativeCraftersHQ,5.0,1,2.99,USD,"[{'review_rating': 5, 'review_date_published': '2023-09-10', 'review_body': 'What a helpful purchase. This is one of the best informative best seller purchase . After going through 2 days , I realized no other is more helpful than this . So much better ideas and creativity than other sellers. Thank you!!', 'review_author': 'Naila Firdaus'}]"
https://www.etsy.com/listing/672365767/genuine-leather-wallet-cobra-mens-wallet,"Genuine leather wallet, cobra mens wallet, three folds and 9 card slots, handmade products free shipping",672365767,"['https://i.etsystatic.com/19192877/r/il/97decb/1782368963/il_fullxfull.1782368963_5c7e.jpg', 'https://i.etsystatic.com/19192877/r/il/bcc959/1782367995/il_fullxfull.1782367995_963n.jpg', 'https://i.etsystatic.com/19192877/r/il/947f45/1734911482/il_fullxfull.1734911482_cwuo.jpg', 'https://i.etsystatic.com/19192877/r/il/c4dbea/1782367993/il_fullxfull.1782367993_l7v6.jpg', 'https://i.etsystatic.com/19192877/r/il/508e9b/1734911544/il_fullxfull.1734911544_s77t.jpg']",Bags & Purses < Wallets & Money Clips < Wallets,IndoLeatherShop,5.0,2,49.99,USD,[]
https://www.etsy.com/listing/892913651/crochet-basket-plant-basket-crochet,"Crochet basket, plant basket, crochet basket perfect home decor, handmade small crochet basket, homeware, Best Selling Items.",892913651,"['https://i.etsystatic.com/23638947/r/il/fd2444/2668832541/il_fullxfull.2668832541_8mic.jpg', 'https://i.etsystatic.com/23638947/r/il/bac305/2621177900/il_fullxfull.2621177900_s2k9.jpg', 'https://i.etsystatic.com/23638947/r/il/d9f86d/2621178128/il_fullxfull.2621178128_eboo.jpg', 'https://i.etsystatic.com/23638947/r/il/4f2b93/2668833225/il_fullxfull.2668833225_2vpc.jpg', 'https://i.etsystatic.com/23638947/r/il/7111bc/2621178500/il_fullxfull.2621178500_mxib.jpg', 'https://i.etsystatic.com/23638947/r/il/760b02/2621178764/il_fullxfull.2621178764_9oxr.jpg', 'https://i.etsystatic.com/23638947/r/il/19a7e6/2668833745/il_fullxfull.2668833745_f6qq.jpg', 'https://i.etsystatic.com/23638947/r/il/414e52/2685733035/il_fullxfull.2685733035_6wh0.jpg']",Home & Living < Storage & Organization < Baskets,CamiCrochetDesigns,5.0,49,26.90,USD,[]
https://www.etsy.com/listing/1295177512/how-i-make-over-10000-a-month-selling-on,"How I make Over 10,000 a month Selling on Amazon: Learn how to sell on amazon and make a profit -#1 Best Seller Ebook -by YAMIE MICHELIN",1295177512,"['https://i.etsystatic.com/32136125/r/il/6d184e/5115138908/il_fullxfull.5115138908_k87i.jpg', 'https://i.etsystatic.com/32136125/r/il/0ec454/4795313949/il_fullxfull.4795313949_c8u8.jpg', 'https://i.etsystatic.com/32136125/r/il/b2fa72/5115142490/il_fullxfull.5115142490_t34r.jpg', 'https://i.etsystatic.com/32136125/r/il/0bb396/5115146332/il_fullxfull.5115146332_1dor.jpg', 'https://i.etsystatic.com/32136125/r/il/163225/4896143171/il_fullxfull.4896143171_k48a.jpg', 'https://i.etsystatic.com/32136125/r/il/c8befa/4847848466/il_fullxfull.4847848466_lx34.jpg', 'https://i.etsystatic.com/32136125/r/il/54f8e2/4788222443/il_fullxfull.4788222443_lr8y.jpg', 'https://i.etsystatic.com/32136125/r/il/eae708/4489629950/il_fullxfull.4489629950_8nd2.jpg', 'https://i.etsystatic.com/32136125/r/il/6e12fc/4422357312/il_fullxfull.4422357312_sfdx.jpg', 'https://i.etsystatic.com/32136125/r/il/aba1ec/4537012541/il_fullxfull.4537012541_ptl3.jpg']","Books, Movies & Music < Books < Guides & How Tos",YamieMichelin,4.8,764,48.95,USD,"[{'review_rating': 5, 'review_date_published': '2023-09-01', 'review_body': 'love it. I am so ready to work and make millions. Ive always seen Yamie Michelin on IG showing how she do it. Thanks so much for this', 'review_author': 'Nadine'}, {'review_rating': 5, 'review_date_published': '2023-09-16', 'review_body': 'This E-book is top notch and has truly exceeded my expectations. I highly recommend this to anyone looking to get started as an amazing seller. Thank you so much for dropping so many gems!!!!!!!!', 'review_author': 'Bronwyn'}, {'review_rating': 5, 'review_date_published': '2023-08-13', 'review_body': 'I highly recommend it! Great customer service!!!! 💯', 'review_author': 'Yinet'}, {'review_rating': 5, 'review_date_published': '2023-08-26', 'review_body': 'I was hesitant at first but afterwards of all my concerns being addressed I made my purchase and I must say it has been one the best investment I could have made.\n\nWorth every penny and you will see it for yourself.\n\nThank you for making it possible for us to have an insightful opportunity to make a great income as an Amazon seller.', 'review_author': 'James Horace'}]"
https://www.etsy.com/listing/1158798807/happimess-playroom-decor-wall-art-prints,"HAPPIMESS Playroom Decor, wall art prints, Playroom Printable, Nursery Wall Art, Best Selling store, Kids Wall Art Printable, quote kids",1158798807,"['https://i.etsystatic.com/13006140/r/il/af21d5/3591007754/il_fullxfull.3591007754_7lvh.jpg', 'https://i.etsystatic.com/13006140/r/il/3e8509/3638623491/il_fullxfull.3638623491_ose1.jpg', 'https://i.etsystatic.com/13006140/r/il/455766/3638623493/il_fullxfull.3638623493_4lcm.jpg', 'https://i.etsystatic.com/13006140/r/il/9611bc/1899346705/il_fullxfull.1899346705_l1kv.jpg', 'https://i.etsystatic.com/13006140/r/il/f390d4/2119725984/il_fullxfull.2119725984_5wvs.jpg', 'https://i.etsystatic.com/13006140/r/il/27fd04/1899346687/il_fullxfull.1899346687_l7cq.jpg', 'https://i.etsystatic.com/13006140/r/il/27eca7/1466202387/il_fullxfull.1466202387_9s5z.jpg']",Art & Collectibles < Prints < Digital Prints,ArtPrintsFactory,4.9,15207,5.00,USD,"[{'review_rating': 5, 'review_date_published': '2022-04-21', 'review_body': 'So cute! Looks great in my classroom!', 'review_author': 'Tara Nelson'}, {'review_rating': 5, 'review_date_published': '2023-02-22', 'review_body': '', 'review_author': 'M C'}]"
https://www.etsy.com/listing/1533250042/250-halloween-digital-product-ideas-sell,250 Halloween Digital Product Ideas Sell on Etsy Best Selling Items 2023 Digital Products Best Seller Digital Top Sellers Best Sellers,1533250042,"['https://i.etsystatic.com/45372588/r/il/d1e734/5204544680/il_fullxfull.5204544680_ti7i.jpg', 'https://i.etsystatic.com/45372588/r/il/426336/5254003180/il_fullxfull.5254003180_daxo.jpg', 'https://i.etsystatic.com/45372588/r/il/5715b1/5254003194/il_fullxfull.5254003194_hlfu.jpg', 'https://i.etsystatic.com/45372588/r/il/6b96a2/5254003094/il_fullxfull.5254003094_otbp.jpg', 'https://i.etsystatic.com/45372588/r/il/01e3aa/5302194633/il_fullxfull.5302194633_ga6x.jpg']","Books, Movies & Music < Books < Guides & How Tos",Helply,5.0,13,5.59,USD,"[{'review_rating': 5, 'review_date_published': '2023-09-05', 'review_body': 'Great customer service. Lots of great ideas. Thank you!', 'review_author': 'Nina Dooley'}, {'review_rating': 5, 'review_date_published': '2023-09-13', 'review_body': 'Very helpful list, Thank you so much!', 'review_author': 'Amanda'}, {'review_rating': 5, 'review_date_published': '2023-08-23', 'review_body': 'Great list, not messy, everything nicely grouped and a lot of good ideas.', 'review_author': 'Michael'}, {'review_rating': 5, 'review_date_published': '2023-09-01', 'review_body': 'The item matched the description and met my expectations', 'review_author': 'Tees of Inspiration LLC'}]"
https://www.etsy.com/listing/1315356277/everything-you-need-to-know-about,Everything You Need To Know About Creating & Selling Editable Templates From Canva - Beginner&#39;s Guide - Make Passive Income,1315356277,['https://i.etsystatic.com/31869606/r/il/1ee457/4207555376/il_fullxfull.4207555376_ijkp.jpg'],"Books, Movies & Music < Books < Guides & How Tos",ThatDigitalDarling,4.8,773,10.00,USD,"[{'review_rating': 5, 'review_date_published': '2022-12-09', 'review_body': 'Jacey is amazing and provides stellar customer service and cares about her clients. \n\nAll the brushes I have purchased, digital ebooks, etc have stood out from the crowd on Etsy. \n\nThanks Jacey for being an amazing human and small business owner.', 'review_author': 'Laura Warford'}, {'review_rating': 5, 'review_date_published': '2023-01-11', 'review_body': 'I really love this &lt;3', 'review_author': 'Elia Ceseña'}, {'review_rating': 5, 'review_date_published': '2022-11-02', 'review_body': 'I helped me so much!', 'review_author': 'KRYSTALLISERT'}, {'review_rating': 5, 'review_date_published': '2022-11-28', 'review_body': 'I’ve always wanted to start selling products like this but felt like I didn’t know where to start. Discovered your page on TikTok and it led me to your guide. I’ve already started making some products thanks to your checklist! Thank you!', 'review_author': 'Kat'}]"
https://www.etsy.com/listing/1531911470/digital-products-best-seller-discover,Digital Products Best Seller | Discover Over 100 Actionable Digital Product Ideas For Top Sellers + AI Bonus | Digital Products Hustle,1531911470,"['https://i.etsystatic.com/45843102/r/il/22fcee/5236778792/il_fullxfull.5236778792_fijo.jpg', 'https://i.etsystatic.com/45843102/r/il/10851a/5237281154/il_fullxfull.5237281154_s646.jpg', 'https://i.etsystatic.com/45843102/r/il/1dd6fc/5284650417/il_fullxfull.5284650417_a4m4.jpg', 'https://i.etsystatic.com/45843102/r/il/33b976/5236829912/il_fullxfull.5236829912_d6ml.jpg', 'https://i.etsystatic.com/45843102/r/il/9bf70f/5237314234/il_fullxfull.5237314234_kbfw.jpg', 'https://i.etsystatic.com/45843102/r/il/ce9174/5237023848/il_fullxfull.5237023848_c2ww.jpg', 'https://i.etsystatic.com/45843102/r/il/6a0405/5237258778/il_fullxfull.5237258778_o4qv.jpg', 'https://i.etsystatic.com/45843102/r/il/0fb55d/5237151604/il_fullxfull.5237151604_9kfs.jpg', 'https://i.etsystatic.com/45843102/r/il/68b4dd/5237156098/il_fullxfull.5237156098_tv4r.jpg', 'https://i.etsystatic.com/45843102/r/il/657e45/5237104796/il_fullxfull.5237104796_3isf.jpg']","Books, Movies & Music < Books < Guides & How Tos",ArtiCraftAI,5.0,15,1.99,USD,"[{'review_rating': 5, 'review_date_published': '2023-09-07', 'review_body': 'Looks great am excited to read it. Out of the six books or flyers I bought this one is the most professional and appealing.', 'review_author': 'Jason'}, {'review_rating': 5, 'review_date_published': '2023-08-25', 'review_body': 'ver useful information and I liekd it!', 'review_author': 'royalt'}, {'review_rating': 5, 'review_date_published': '2023-08-27', 'review_body': 'this is an amazing item and helped alot!', 'review_author': 'rok'}, {'review_rating': 5, 'review_date_published': '2023-08-28', 'review_body': 'As described thanks', 'review_author': 'Nicki Belstone'}]"
https://www.etsy.com/listing/1325365967/its-a-beautiful-day-to-sell-a-house,"It&#39;s A Beautiful Day To Sell A House Shirt, Real Estate Agent, Selling Homes Shirt, Real Estate Shirt, Real Estate Broker T-Shirt, Funny Tee",1325365967,"['https://i.etsystatic.com/25041895/r/il/ac42f1/4252815404/il_fullxfull.4252815404_s2r6.jpg', 'https://i.etsystatic.com/25041895/r/il/984db4/4300181245/il_fullxfull.4300181245_s2tr.jpg', 'https://i.etsystatic.com/25041895/r/il/3e6bf6/4252792996/il_fullxfull.4252792996_5v6v.jpg', 'https://i.etsystatic.com/25041895/r/il/d465df/4252793060/il_fullxfull.4252793060_42k4.jpg', 'https://i.etsystatic.com/25041895/r/il/e04477/4300182317/il_fullxfull.4300182317_8uvl.jpg', 'https://i.etsystatic.com/25041895/r/il/45b06c/4252813852/il_fullxfull.4252813852_80bu.jpg', 'https://i.etsystatic.com/25041895/r/il/9e3477/4252813812/il_fullxfull.4252813812_b3kh.jpg', 'https://i.etsystatic.com/25041895/r/il/546f0d/4300203211/il_fullxfull.4300203211_d54x.jpg']",Clothing < Gender-Neutral Adult Clothing < Tops & Tees < T-shirts,EverythingAfterCo,4.9,7170,,USD,[]
https://www.etsy.com/listing/1554589807/master-resell-rights-digital-products,Master Resell Rights Digital Products Digital Downloads Best Sellers To Sell On Etsy With Included! Midjourney Prompts AI Prompts Etsy Shop,1554589807,"['https://i.etsystatic.com/45843102/r/il/ee3c3a/5315452481/il_fullxfull.5315452481_fkoi.jpg', 'https://i.etsystatic.com/45843102/r/il/4289fe/5315793475/il_fullxfull.5315793475_hg9c.jpg', 'https://i.etsystatic.com/45843102/r/il/55beb9/5315860691/il_fullxfull.5315860691_grud.jpg', 'https://i.etsystatic.com/45843102/r/il/4d2dcd/5267527044/il_fullxfull.5267527044_dlgl.jpg', 'https://i.etsystatic.com/45843102/r/il/a99bed/5267664954/il_fullxfull.5267664954_q8u9.jpg', 'https://i.etsystatic.com/45843102/r/il/b8de36/5267336096/il_fullxfull.5267336096_gb71.jpg', 'https://i.etsystatic.com/45843102/r/il/2f19cc/5267556858/il_fullxfull.5267556858_443n.jpg', 'https://i.etsystatic.com/45843102/r/il/c6e453/5267604036/il_fullxfull.5267604036_4k9y.jpg', 'https://i.etsystatic.com/45843102/r/il/93d5fe/5315815207/il_fullxfull.5315815207_9xlu.jpg', 'https://i.etsystatic.com/45843102/r/il/59afc0/5240748994/il_fullxfull.5240748994_4mn1.jpg']","Books, Movies & Music < Books < Guides & How Tos",ArtiCraftAI,5.0,15,3.99,USD,"[{'review_rating': 5, 'review_date_published': '2023-09-04', 'review_body': 'I received an incredible amount of information that will be so helpful in my new journey of selling on Etsy! The item matches the description plus some! Thanks again!', 'review_author': 'Renee'}]"
